"year","month","day","author","title","link","country"
2012,3,15,"EFF","Fake YouTube Site Targets Syrian Activists With Malware","https://www.eff.org/deeplinks/2012/03/fake-youtube-site-targets-syrian-activists-malware","SY"
2012,3,29,"EFF","Syrian Activists Targeted With Facebook Phishing Attack","https://www.eff.org/deeplinks/2012/03/pro-syrian-government-hackers-target-syrian-activists-facebook-phishing-attack","SY"
2012,4,4,"EFF","Campaign Targeting Syrian Activists Escalates with New Surveillance Malware","https://www.eff.org/deeplinks/2012/04/campaign-targeting-syrian-activists-escalates-with-new-surveillance-malware","SY"
2012,4,20,"Syrian Freedom","Some quick Syrian government malware analysis","http://syrianfreedom.org/some-quick-syrian-malware-analysis",""
2012,5,3,"F-Secure","Targeted Attacks in Syria","https://www.f-secure.com/weblog/archives/00002356.html","SY"
2012,5,31,"EFF","Trojan Hidden in Fake Revolutionary Documents Targets Syrian Activists","https://www.eff.org/deeplinks/2012/05/trojan-hidden-fake-revolutionary-documents-targets-syrian-activists","SY"
2012,6,19,"Citizen Lab","Syrian Activists Targeted with BlackShades Spy Software","https://citizenlab.org/2012/06/syrian-activists-targeted-with-blackshades-spy-software/","SY"
2012,6,19,"EFF","New Trojan Spread Over Skype as Cat and Mouse Game Between Syrian Activists and Pro-Syrian-Government Hackers Continues","https://www.eff.org/deeplinks/2012/06/darkshades-rat-and-syrian-malware","SY"
2012,7,12,"EFF","New Malware Targeting Syrian Activists Uses Blackshades Commercial Trojan","https://www.eff.org/deeplinks/2012/07/new-blackshades-malware","SY"
2012,7,26,"Citizen Lab","Recent Observations in Tibet-Related Information Operations: Advanced social engineering for the distribution of LURK malware","https://citizenlab.org/2012/07/recent-observations/","CN"
2012,7,25,"Citizen Lab","From Bahrain With Love: FinFisher's Spy Kit Exposed?","https://citizenlab.org/2012/07/from-bahrain-with-love-finfishers-spy-kit-exposed/","BH"
2012,8,2,"Rapid7","Analysis of the FinFisher Lawful Interception Malware","https://community.rapid7.com/community/infosec/blog/2012/08/08/finfisher",""
2012,8,29,"Citizen Lab","The SmartPhone Who Loved Me: FinFisher Goes Mobile?","https://citizenlab.org/2012/08/the-smartphone-who-loved-me-finfisher-goes-mobile/",""
2012,10,10,"Citizen Lab","Backdoors are Forever: Hacking Team and the Targeting of Dissent?","https://citizenlab.org/2012/10/backdoors-are-forever-hacking-team-and-the-targeting-of-dissent/","MA,AE"
2012,12,3,"EFF","The Internet is Back in Syria and So is Malware Targeting Syrian Activists","https://www.eff.org/deeplinks/2012/12/iinternet-back-in-syria-so-is-malware","SY"
2013,1,15,"Bahrain Watch","Hacked Website, Java Vulnerability Used to Target UAE Activist with Spyware","https://bahrainwatch.org/blog/2013/01/15/hacked-website-java-vulnerability-used-to-target-uae-activist-with-spyware/","AE"
2013,3,13,"Citizen Lab","You Only Click Twice: FinFisher's Global Proliferation","https://citizenlab.org/2013/03/you-only-click-twice-finfishers-global-proliferation-2/",""
2013,5,16,"F-Secure","Mac Spyware Found at Oslo Freedom Forum","https://www.f-secure.com/weblog/archives/00002554.html","AO"
2013,8,2,"Citizen Lab","Surtr: Malware Family Targeting the Tibetan Community","https://citizenlab.org/2013/08/surtr-malware-family-targeting-the-tibetan-community/","CN"
2013,12,23,"EFF","Social Engineering and Malware in Syria: EFF and Citizen Lab's Latest Report on the Digital Battlefield","https://www.eff.org/deeplinks/2013/12/social-engineering-and-malware-syria-eff-and-citizen-labs-latest-report-digital","SY"
2014,1,19,"EFF","Vietnamese Malware Gets Very Personal","https://www.eff.org/deeplinks/2014/01/vietnamese-malware-gets-personal","VN"
2014,2,12,"Citizen Lab","Hacking Team and the Targeting of Ethiopian Journalists","https://citizenlab.org/2014/02/hacking-team-targeting-ethiopian-journalists/","ET"
2014,2,17,"Citizen Lab","Mapping Hacking Team's ""Untraceable"" Spyware","https://citizenlab.org/2014/02/mapping-hacking-teams-untraceable-spyware/",""
2014,2,28,"Citizen Lab","Hacking Team's US Nexus","https://citizenlab.org/2014/02/hacking-teams-us-nexus/",""
2014,3,13,"Citizen Lab","Maliciously Repackaged Psiphon Found","https://citizenlab.org/2014/03/maliciously-repackaged-psiphon/","SY"
2014,5,13,"FireEye","Operation Saffron Rose","https://www.fireeye.com/blog/threat-research/2014/05/operation-saffron-rose.html","IR"
2014,8,15,"Citizen Lab","Schrodinger's Cat Video and the Death of Clear-Text","https://citizenlab.org/2014/08/cat-video-and-the-death-of-clear-text/",""
2014,8,20,"Usenix","When Governments Hack Opponents","https://www.usenix.org/system/files/conference/usenixsecurity14/sec14-paper-marczak.pdf",""
2014,9,29,"Malware.lu","Analysis of Code4HK","https://malware.lu/articles/2014/09/29/analysis-of-code4hk.html","HK"
2014,10,9,"Volexity","Democracy in Hong Kong Under Attack","https://www.volexity.com/blog/2014/10/09/democracy-in-hong-kong-under-attack/","HK"
2015,3,9,"Citizen Lab","Hacking Team Reloaded? US-Based Ethiopian Journalists Again Targeted with Spyware","https://citizenlab.org/2015/03/hacking-team-reloaded-us-based-ethiopian-journalists-targeted-spyware/","ET"
2015,3,10,"Citizen Lab","Tibetan Uprising Day Malware Attacks","https://citizenlab.org/2015/03/tibetan-uprising-day-malware-attacks/","CN"
2015,6,15,"Citizen Lab","Targeted Attacks against Tibetan and Hong Kong Groups Exploiting CVE-2014-4114","https://citizenlab.org/2015/06/targeted-attacks-against-tibetan-and-hong-kong-groups-exploiting-cve-2014-4114/","CN,HK"
2015,8,21,"The Intercept","Inside the Spyware Campaign Against Argentine Troublemakers","https://theintercept.com/2015/08/21/inside-the-spyware-campaign-against-argentine-troublemakers-including-alberto-nisman/","AR"
2016,8,27,"EFF","New Spear Phishing Campaign Pretends to be EFF","https://www.eff.org/deeplinks/2015/08/new-spear-phishing-campaign-pretends-be-eff","RU"
2015,10,16,"Citizen Lab","Targeted Malware Attacks against NGO Linked to Attacks on Burmese Government Websites","https://citizenlab.org/2015/10/targeted-attacks-ngo-burma/","MM"
2015,12,8,"Citizen Lab","Packrat: Seven Years of a South American Threat Actor","https://citizenlab.org/2015/12/packrat-report/",""
2016,3,10,"Citizen Lab","Shifting Tactics: Tracking changes in years-long espionage campaign against Tibetans","https://citizenlab.ca/2016/03/shifting-tactics/","CN"
2016,4,13,"Arbor Networks","The Four Element Sword Engagement","https://www.arbornetworks.com/blog/asert/four-element-sword-engagement/","CN"
2016,4,18,"Citizen Lab","Between Hong Kong and Burma: Tracking UP007 and SLServer Espionage Campaigns","https://citizenlab.org/2016/04/between-hong-kong-and-burma/","HK,MM"
2016,4,21,"Palo Alto Networks","New Poison Ivy RAT Variant Targets Hong Kong Pro-Democracy Activists","http://researchcenter.paloaltonetworks.com/2016/04/unit42-new-poison-ivy-rat-variant-targets-hong-kong-pro-democracy-activists/","HK"
2016,5,29,"Citizen Lab","Keep Calm and (Don't) Enable Macros: A New Threat Actor Targets UAE Dissidents","https://citizenlab.org/2016/05/stealth-falcon/","AE"
2016,8,3,"EFF","I Got a Letter From the Government the Other Day... Unveiling a Campaign of Intimidation, Kidnapping, and Malware in Kazakhstan","https://www.eff.org/files/2016/08/03/i-got-a-letter-from-the-government.pdf","KZ"
2016,8,4,"Collin Anderson, Claudio Guarnieri","Iran and the Soft-War for Internet Dominance","https://iranthreats.github.io/us-16-Guarnieri-Anderson-Iran-And-The-Soft-War-For-Internet-Dominance-paper.pdf","IR"
2016,8,24,"Collin Anderson, Claudio Guarnieri","Increased Use of Malware Target Journalists","https://iranthreats.github.io/resources/android-malware/","IR"
2016,8,24,"Citizen Lab","The Million Dollar Dissident: NSO Group's iPhone Zero-Days used against a UAE Human Rights Defender","https://citizenlab.org/2016/08/million-dollar-dissident-iphone-zero-day-nso-group-uae/","AE"
2016,9,1,"Collin Anderson, Claudio Guarnieri","Malware Posing as Human Rights Organizations and Commercial Software Targeting Iranians, Foreign Policy Institutions and Middle Eastern Countries","https://iranthreats.github.io/resources/human-rights-impersonation-malware/","IR"
2016,10,25,"Palo Alto Networks","Houdini's Magic Reappearance","http://researchcenter.paloaltonetworks.com/2016/10/unit42-houdinis-magic-reappearance/",""
2016,10,26,"Vectra Networks","Moonlight - Targeted attacks in the Middle East","http://blog.vectranetworks.com/blog/moonlight-middle-east-targeted-attacks","PS"
2016,11,9,"Volexity","PowerDuke: Widespread Post-Election Spear Phishing Campaigns Targeting Think Tanks and NGOs","https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/","RU"
2016,11,11,"Collin Anderson, Claudio Guarnieri","Fictitious Profiles and WebRTC's Privacy Leaks Used To Identify Iranian Activists","https://iranthreats.github.io/resources/webrtc-deanonymization/","IR"
2016,11,17,"Citizen Lab","It's Parliamentary: KeyBoy and the targeting of the Tibetan Community","https://citizenlab.org/2016/11/parliament-keyboy/","CN"
2016,11,21,"PwC","MoleRats: there's more to the naked eye","http://pwc.blogs.com/cyber_security_updates/2016/11/molerats-theres-more-to-the-naked-eye.html","PS"
2016,12,20,"Motherboard, Arsenal Consulting","Some Malware Victims in Turkey Have No Idea They've Been Targeted","https://motherboard.vice.com/read/some-malware-victims-in-turkey-have-no-idea-theyve-been-targeted","TR"
2017,2,2,"Citizen Lab","Nile Phish: Large-Scale Phishing Campaign Targeting Egyptian Civil Society","https://citizenlab.org/2017/02/nilephish-report/","EG"
2017,2,6,"Collin Anderson, Claudio Guarnieri","iKittens: Iranian Actor Resurfaces with Malware for Mac","https://iranthreats.github.io/resources/macdownloader-macos-malware/","IR"
2017,2,11,"Citizen Lab","Bitter Sweet: Supporters of Mexico's Soda Tax Targeted With NSO Exploit Links","https://citizenlab.org/2017/02/bittersweet-nso-mexico-spyware/","MX"
2017,2,14,"Amnesty International","Operation Kingphish: Uncovering a Campaign of Cyber Attacks against Civil Society in Qatar and Nepal","https://medium.com/amnesty-insights/operation-kingphish-uncovering-a-campaign-of-cyber-attacks-against-civil-society-in-qatar-and-aa40c9e08852","QA"
2017,3,10,"Amnesty International","False Friends: How Fake Accounts and Crude Malware Targeted Dissidents in Azerbaijan","https://medium.com/amnesty-insights/false-friends-how-fake-accounts-and-crude-malware-targeted-dissidents-in-azerbaijan-9b6594cafe60","AZ"
2017,5,25,"Citizen Lab","Tainted Leaks: Disinformation and Phishing With a Russian Nexus","https://citizenlab.org/2017/05/tainted-leaks-disinformation-phish/","RU"
2017,6,12,"Collin Anderson, Claudio Guarnieri","Bahamut, Pursuing a Cyber Espionage Actor in the Middle East","https://www.bellingcat.com/news/mena/2017/06/12/bahamut-pursuing-cyber-espionage-actor-middle-east/",""
2017,6,19,"Citizen Lab","Reckless Exploit: Mexican Journalists, Lawyers, and a Child Targeted with NSO Spyware","https://citizenlab.ca/2017/06/reckless-exploit-mexico-nso/","MX"
2017,6,29,"Citizen Lab","Reckless Redux: Senior Mexican Legislators and Politicians Targeted with NSO Spyware","https://citizenlab.ca/2017/06/more-mexican-nso-targets/","MX"
2017,7,5,"Citizen Lab","Insider Information: An intrusion campaign targeting Chinese language news sites","https://citizenlab.ca/2017/07/insider-information-an-intrusion-campaign-targeting-chinese-language-news-sites/","CN"
2017,7,10,"Citizen Lab","Reckless III: Investigation Into Mexican Mass Disappearance Targeted with NSO Spyware","https://citizenlab.ca/2017/07/mexico-disappearances-nso/","MX"
2017,8,2,"Citizen Lab","Reckless IV: Lawyers for Murdered Mexican Women's Families Targeted with NSO Spyware","https://citizenlab.ca/2017/08/lawyers-murdered-women-nso-group/","MX"
2017,8,30,"Citizen Lab","Reckless V: Director of Mexican Anti-Corruption Group Targeted with NSO Group's Spyware","https://citizenlab.ca/2017/08/nso-spyware-mexico-corruption/","MX"
2017,10,27,"Collin Anderson","Bahamut Revisited, More Cyber Espionage in the Middle East and South Asia","https://www.bellingcat.com/resources/case-studies/2017/10/27/bahamut-revisited-cyber-espionage-middle-east-south-asia/",""
2017,11,6,"Volexity","OceanLotus Blossoms: Mass Digital Surveillance and Attacks Targeting ASEAN, Asian Nations, the Media, Human Rights Groups, and Civil Society","https://www.volexity.com/blog/2017/11/06/oceanlotus-blossoms-mass-digital-surveillance-and-exploitation-of-asean-nations-the-media-human-rights-and-civil-society/","VN"
2017,12,6,"Citizen Lab","Champing at the Cyberbit","https://citizenlab.ca/2017/12/champing-cyberbit-ethiopian-dissidents-targeted-commercial-spyware/","ET"
2018,1,18,"EFF, Lookout","EFF and Lookout Uncover New Malware Espionage Campaign Infecting Thousands Around the World","https://www.eff.org/press/releases/eff-and-lookout-uncover-new-malware-espionage-campaign-infecting-thousands-around","LB"
2018,1,30,"Citizen Lab","Spying on a Budget","https://citizenlab.ca/2018/01/spying-on-a-budget-inside-a-phishing-operation-with-targets-in-the-tibetan-community/","CN"
2018,5,15,"Amnesty International","Human Rights Under Surveillance - Digital Threats Against Human Rights Defenders in Pakistan","https://www.amnesty.org/en/documents/asa33/8366/2018/en/","PK"
2018,8,8,"Citizen Lab","Familiar Feeling: A Malware Campaign Targeting the Tibetan Diaspora Resurfaces ","https://citizenlab.ca/2018/08/familiar-feeling-a-malware-campaign-targeting-the-tibetan-diaspora-resurfaces/","CN"
2018,8,1,"Amnesty International","Amnesty International Among Targets of NSO-Powered Campaign","https://www.amnesty.org/en/latest/research/2018/08/amnesty-international-among-targets-of-nso-powered-campaign/","SA"
